id,score
13224900,0.2075
13224500,0.2157
13224400,0.2075
13224300,0.2075
13224200,0.1013
13222400,0.0732
13221200,0.0744
13220300,-0.0233
13220301,0.0838
13220000,0.0079
13513900,0.197
13513901,0.012
13512600,-0.0929
13512601,-0.0479
13511600,0.0059
13511500,0.1609
13511501,-0.037
13511502,0.25
13511200,0.169
13510500,0.195
13504700,0.0621
13504500,0.0807
13504100,0.1478
13504101,0.1529
13175400,0.0833
13173400,0.2045
13173300,0.0818
13173200,0.1238
13173100,0.0455
13173101,0.1792
13173000,0.1627
13172500,-0.013
13172200,-0.0171
13470700,0.0708
13465900,0.0942
13465500,0.0625
13465501,-0.0915
13465400,0.1224
13465401,0.1454
13464300,0.1061
13461600,0.1
13172100,0.03
13172000,-0.0214
13171100,0.0202
13365800,-0.0968
13365400,0.209
13365401,0.0571
13365100,-0.0048
13364400,0.0682
13362600,0.0714
13362200,0.2167
13361900,0.1263
13360900,0.1128
13360200,0.15
13355900,-0.0413
13071900,0.1667
13071901,0.1143
13071902,0.1204
13070300,0.1111
13070200,0.0054
13070000,0.1436
13065900,0.0698
13064900,0.2721
13063000,0.2
13345300,-0.0594
13062700,-0.0617
13061600,0.1249
13060400,0.0
13354100,0.1688
13353700,0.0023
13353400,0.188
13352400,0.0926
13351400,0.0596
13351300,0.1027
13350600,0.1569
13350000,0.093
13345900,0.1364
13345800,0.2045
13345801,0.0667
13345802,-0.1182
13345700,0.1256
13345301,-0.027
13345302,0.1596
13344600,0.073
13344500,-0.0153
13344100,0.09
13060300,0.2246
13054200,0.0584
13341600,0.0053
13340300,0.1567
13335400,0.1487
13052100,0.125
11344400,0.0519
11344200,-0.0071
11343800,0.1789
11343300,0.1307
11342900,0.211
12025600,0.0083
11342600,0.1223
11342200,0.3682
