word,count
's,385
``,247
'',244
one,96
said,92
year,89
also,76
new,73
n't,66
time,61
--,60
home,58
city,57
cement,52
list,49
part,48
market,48
system,46
like,46
company,46
insurance,46
week,43
mile,43
day,43
people,43
government,43
service,42
online,42
national,41
sunday,41
two,41
november,40
around,40
price,39
according,38
stock,37
across,36
season,36
would,36
could,36
team,36
back,35
country,35
energy,35
among,35
co,35
biochar,35
last,34
make,33
material,33
still,32
making,32
right,32
minister,32
community,32
made,32
quote,32
say,31
best,31
state,31
get,30
investor,30
event,30
industry,29
area,29
support,29
police,29
many,28
find,28
news,28
expected,28
report,28
high,28
cut,27
coming,27
car,27
first,27
space,27
even,27
strength,27
provide,26
three,26
strong,26
place,26
development,25
due,25
power,25
temperature,25
investment,25
performance,25
live,25
help,24
month,24
october,24
world,24
trade,24
including,24
per,24
highest,24
study,24
